問題	タグ(;区切り)
ABC353A	書くだけ
ABC353B	書くだけ;難読
ABC353C	寄与(和を求めるときは寄与を分解して考える);可換ならソート(配列で順番関係ないときは取り敢えずソートしてしまう);modを引き算で代替
ABC353D	寄与
ABC353E	複数の最長共通接頭辞の長さはTrie木
ABC352A	書くだけ
ABC352B	書くだけ
ABC352C	貪欲
ABC352D	全探索(ABC352Dのやつ!);順列はindex/値の関係を逆にできる
ABC352E	最大の操作回数(ならし計算量)を考える(最小全域木であれば辺の数はN-1等);まとめて操作できるのはまとめる;
一般のグラフで与えられるけど，枝をいくつか無視して，木だけ考えれば良い(最終形が極端な形になる等);連結性だけを考えたら木と等価
ABC351A	書くだけ
ABC351B	書くだけ
ABC351C	全探索
ABC351D	頂点をまとめる
ABC351E	斜めは45度回転;マンハッタン距離はxとy独立に計算可能;寄与(和を求めるときは寄与を分解して考える)
ABC351F	寄与(和を求めるときは寄与を分解して考える);個数と値を別で管理する(セグ木);2次元平面上の点 (i, A[i]) で考える(手を動かして考える。ここでは右上を足し合わせる)
                                                                        



